Query,Answer,Timestamp,Expected Timestamp,Context,Correct (True/False)
At what timestamp does Andrew Huberman state that sunlight modulates the timing of the cortisol pulse?,early in the day,168.41 - 171.251,154.844 - 157.605,You want that cortisol pulse to happen as early in the day as possible.,False
At what timestamp does Andrew Huberman say you'll get a boost in cortisol once every 24 hours?,early in the day,168.41 - 171.251,157.725 - 161.467,You want that cortisol pulse to happen as early in the day as possible.,False
At what timestamp does Andrew Huberman mention that a cortisol boost is healthy?,24 hours,157.725 - 161.467,161.487 - 162.267,"Once every 24 hours, you're gonna get a boost in cortisol, big spike in cortisol.",False
At what timestamp does Andrew Huberman explain how cortisol sets your temperature rhythm and affects mood?,afternoon,203.769 - 208.292,162.427 - 168.05,"That means that cortisol pulse is gonna come in the afternoon, which means that your temperature rhythm is gonna be shifted late",False
At what timestamp does Andrew Huberman emphasize that the cortisol pulse should occur as early as possible?,day,168.41 - 171.251,168.41 - 171.251,You want that cortisol pulse to happen as early in the day as possible.,True
At what timestamp does Andrew Huberman ask what's triggering the cortisol pulse?,clocks,606.675 - 609.197,171.291 - 172.892,The clocks of your body are matched to this cortisol pulse.,False
At what timestamp does Andrew Huberman explain that genetic programs entrain the cortisol pulse but light anchors it?,once every 24 hours,173.012 - 178.835,173.012 - 178.835,"The cortisol pulse is naturally entrained by these genetic programs to happen once every 24 hours, but light will",True
At what timestamp does Andrew Huberman instruct to anchor your cortisol pulse with bright light?,early in the day,168.41 - 171.251,179.595 - 182.197,You want that cortisol pulse to happen as early in the day as possible.,False
At what timestamp does Andrew Huberman describe a late shifted cortisol pulse?,timing,154.844 - 157.605,182.957 - 194.044,"First of all, it modulates the timing of what's called the cortisol pulse.",False
At what timestamp does Andrew Huberman explain the circadian dead zone?,noon,194.404 - 203.469,194.404 - 203.469,"And then you go outside around noon or one, you're in what's called the circadian dead zone, which is the time in which light arriving at the eyes can do certain things, but it can't time this pulse.",True
At what timestamp does Andrew Huberman warn that being indoors causes the cortisol pulse to come in the afternoon?,early,168.41 - 171.251,203.769 - 208.292,You want that cortisol pulse to happen as early in the day as possible.,False
At what timestamp does Andrew Huberman state that a late cortisol pulse is a signature of depression?,timing,154.844 - 157.605,208.792 - 213.354,"First of all, it modulates the timing of what's called the cortisol pulse.",False
At what timestamp does Andrew Huberman caution that spending time indoors with sunglasses may be detrimental?,there's no sun out,214.194 - 221.377,214.194 - 221.377,"Many people are waking up and they're just spending time indoors and they're putting on sunglasses, getting in their car and driving, or there's cloud cover and they think there's no sun out.",True
At what timestamp does Andrew Huberman advise that you don't need to stare at bright light?,sun,221.557 - 225.339,221.557 - 225.339,"I don't mean that you actually have to stare at the sun, never stare at any light so bright it's going to damage you.",True
At what timestamp does Andrew Huberman warn not to stare at any light that is too bright?,morning,609.958 - 611.399,225.359 - 225.819,So viewing bright light in the morning,False
At what timestamp does Andrew Huberman instruct you to blink as necessary?,noon,194.404 - 203.469,226.139 - 227.18,"And then you go outside around noon or one, you're in what's called the circadian dead zone, which is the time in which light arriving at the eyes can do certain things, but it can't time this pulse.",False
At what timestamp does Andrew Huberman explain that indirect sunlight triggers melanopsin ganglion cells?,UVB,400.447 - 416.404,227.22 - 232.882," And actually there's a pathway involving a molecule called p53 and the keratinocytes are these skin cells that when sunlight, when UVB, ultraviolet blue light, penetrates the skin because it can penetrate the skin superficially, triggers these keratinocytes to stimulate a pathway that releases dopamine in the brain and body.",False
At what timestamp does Andrew Huberman state that these ganglion cells send a signal to the hypothalamus?,cortisol,154.844 - 157.605,233.682 - 237.828,"First of all, it modulates the timing of what's called the cortisol pulse.",False
At what timestamp does Andrew Huberman describe how the hypothalamus releases a wake-up peptide and sets a timer for melatonin release?,16 hours,238.288 - 248.761,238.288 - 248.761,"Then the hypothalamus releases this peptide, which is a wake-up signal for your whole brain and body, and sets a timer for the onset of melatonin release 16 hours later, melatonin being the hormone that makes you sleepy and makes you want to go to sleep.",True
At what timestamp does Andrew Huberman thank the audience for joining this special episode of After School?,weekly podcast focused on science and science-based tools for everyday life.,16.321 - 22.463,925.745 - 928.126,"I'm also the host of the Huberman Lab Podcast, a weekly podcast focused on science and science-based tools for everyday life.",False
At what timestamp does Andrew Huberman mention his website and social media?,Twitter,938.209 - 940.85,949.153 - 956.165,Also check out Huberman Lab on both Instagram and Twitter.,False
